lat3,long3,PyC100,climate
38.95342,-119.9274,30.3501331554053,C
38.95342,-119.9274,37.2848954666863,C
38.95342,-119.9274,39.8963580950515,C
38.95342,-119.9274,42.9236393946051,C
38.95367,-119.92782,34.9305315325296,C
38.95367,-119.92782,41.8292757059133,C
38.95367,-119.92782,48.5490153919341,C
38.95367,-119.92782,49.4818819080335,C
38.95413,-119.92823,37.8638089957763,C
38.95413,-119.92823,37.2154116227578,C
38.95413,-119.92823,39.9274893657678,C
38.95413,-119.92823,42.2017855451737,C
38.95333,-119.92818,37.0948191982435,C
38.95333,-119.92818,41.9226475346408,C
38.95333,-119.92818,46.8821396891639,C
38.95365,-119.92828,36.3586817529826,C
38.95365,-119.92828,35.1662453087403,C
38.95365,-119.92828,40.508491050777,C
38.9541,-119.92892,40.8525412184537,C
38.9541,-119.92892,37.1502666656052,C
38.9541,-119.92892,47.9309564040228,C
38.9541,-119.92892,44.0208836637852,C
38.95368,-119.92915,34.4795393962204,C
38.95368,-119.92915,42.7106521667404,C
38.95368,-119.92915,54.7660323218697,C
38.95368,-119.92915,64.3824771683716,C
38.95228,-119.92933,36.6891106730656,C
38.95228,-119.92933,42.7880907991164,C
38.95228,-119.92933,57.391625484715,C
38.95228,-119.92933,72.1551198953783,C
38.95248,-119.92965,36.613819209713,C
38.95248,-119.92965,44.5313606897851,C
38.95248,-119.92965,46.670399427897,C
38.95248,-119.92965,67.7695581204166,C
38.95153,-119.92963,36.1373395686079,C
38.95153,-119.92963,40.9184066945317,C
38.95153,-119.92963,51.3947268029516,C
38.95153,-119.92963,49.1543947661767,C
38.95142,-119.93005,34.0762953848033,C
38.95142,-119.93005,34.5285136533757,C
38.95142,-119.93005,36.0721037125976,C
38.95108,-119.9294,33.8967045206148,C
38.95108,-119.9294,60.1775509311993,C
38.95108,-119.9294,46.2242727771012,C
38.95108,-119.9294,68.8016255149103,C
38.95083,-119.92957,42.3765319097575,C
38.95083,-119.92957,42.5380431285277,C
38.95083,-119.92957,42.367591761275,C
38.95065,-119.92927,37.1843064912941,C
38.95065,-119.92927,43.4191096260662,C
38.95065,-119.92927,49.3883088761993,C
38.95065,-119.92927,57.8887529783184,C
38.95,-119.916666666666,31.1390531704159,C
38.95,-119.916666666666,34.6236844360272,C
38.95,-119.916666666666,30.9192316060757,C
38.95,-119.916666666666,30.0915681269429,C
38.95,-119.916666666666,28.6053520181359,C
38.95,-119.916666666666,29.253980651715,C
38.95,-119.916666666666,29.4207729473552,C
38.95,-119.916666666666,30.4637704718463,C
38.95,-119.916666666666,31.1785435680588,C
38.95,-119.916666666666,30.2423277589535,C
38.95,-119.916666666666,32.4668579519913,C
38.95,-119.916666666666,34.2290525239355,C
38.95,-119.916666666666,31.6384165959921,C
38.95,-119.916666666666,31.9594741736029,C
38.95,-119.916666666666,28.8967075994894,C
38.95,-119.916666666666,28.4219705153385,C
38.95,-119.916666666666,35.6404613022629,C
38.95,-119.916666666666,28.5240339209102,C
38.95,-119.916666666666,25.894137304912,C
38.95,-119.916666666666,37.7090018506501,C
38.95,-119.916666666666,29.0356704554624,C
38.95,-119.916666666666,36.3299391491124,C
38.95,-119.916666666666,43.2608683135086,C
38.95,-119.916666666666,34.7552116768749,C
38.95,-119.916666666666,26.2102951740138,C
38.95,-119.916666666666,29.7928551836918,C
38.95,-119.916666666666,31.011645226747,C
38.95,-119.916666666666,30.0014419087239,C
38.95,-119.916666666666,29.000918868157,C
38.95,-119.916666666666,36.2016684213095,C
38.95,-119.916666666666,25.4996552707938,C
38.95,-119.916666666666,36.9991183519744,C
38.95,-119.916666666666,34.2142340955837,C
38.95,-119.916666666666,29.4912122928523,C
38.95,-119.916666666666,57.4657613772107,C
38.95342,-119.9274,33.3690378363847,C
38.95342,-119.9274,34.9369290191195,C
38.95342,-119.9274,31.7831756202088,C
38.95367,-119.92782,43.1317823472717,C
38.95367,-119.92782,52.8630666660685,C
38.95367,-119.92782,41.7602487849728,C
38.95413,-119.92823,40.3564995470925,C
38.95413,-119.92823,39.58795997351,C
38.95413,-119.92823,41.34655918223,C
38.95413,-119.92823,45.5968423503005,C
38.95333,-119.92818,39.2155724249413,C
38.95333,-119.92818,49.9481309431769,C
38.95333,-119.92818,76.0955073433115,C
38.95365,-119.92828,36.4740835977232,C
38.95365,-119.92828,43.770400555825,C
38.95365,-119.92828,55.6228609563026,C
38.9541,-119.92892,43.1856159865537,C
38.9541,-119.92892,47.3244279123538,C
38.9541,-119.92892,48.2566134089836,C
38.95368,-119.92915,38.9464237481544,C
38.95368,-119.92915,47.1133451002395,C
38.95368,-119.92915,56.279748650781,C
38.95228,-119.92933,51.4096311255483,C
38.95228,-119.92933,49.8657450976895,C
38.95228,-119.92933,49.8234191482525,C
38.95228,-119.92933,57.9339635720014,C
38.95248,-119.92965,41.2627102710116,C
38.95248,-119.92965,37.1366281307939,C
38.95248,-119.92965,43.1187264056292,C
38.95248,-119.92965,56.0214333975404,C
38.95153,-119.92963,43.5467078002421,C
38.95153,-119.92963,37.4355807567575,C
38.95153,-119.92963,48.5771174468275,C
38.95153,-119.92963,54.0132499708691,C
38.95142,-119.93005,41.8646010678198,C
38.95142,-119.93005,37.5412380154273,C
38.95142,-119.93005,36.2415795740494,C
38.95108,-119.9294,29.2221572805142,C
38.95108,-119.9294,20.9386691953025,C
38.95108,-119.9294,52.873410886042,C
38.95108,-119.9294,54.0142782137553,C
38.95108,-119.9294,70.7583545475423,C
38.95083,-119.92957,41.5783994743365,C
38.95083,-119.92957,41.6004186519114,C
38.95083,-119.92957,44.1946051574335,C
38.95083,-119.92957,48.609525601315,C
38.95065,-119.92927,43.0367370859699,C
38.95065,-119.92927,47.849238321923,C
38.95065,-119.92927,47.3616601490418,C
38.95065,-119.92927,48.8666401325367,C
38.95,-119.916666666666,28.5460140912296,C
38.95,-119.916666666666,30.1241760938127,C
38.95,-119.916666666666,27.8668947885572,C
38.95,-119.916666666666,26.5734052353324,C
38.95,-119.916666666666,25.5064484713387,C
38.95,-119.916666666666,35.3526746169836,C
38.95,-119.916666666666,28.7204473004333,C
38.95,-119.916666666666,42.8744391449101,C
38.95,-119.916666666666,28.2582071378811,C
